Experimento,Descripción,Val Acc,Val F1 Mel,Val AUC Mel,Test Acc,Test Bal Acc,Test F1 macro,Test F1 Mel,Test AUC Mel,Test AP Mel,Test Sens Mel,Test Spec Mel
Exp 1: EfficientNetB0 (preprocess corregido),"Backbone congelado, head 256+dropout 0.4",0.5,0.42857142857142855,0.87890625,0.6,0.6041666666666666,0.6215538847117794,0.7142857142857143,0.8984375,0.7929353632478633,0.625,0.96875
Exp 2: ResNet50 (últimas 30 capas),"L2=0.01, dropout=0.5, dense 256",0.475,0.16666666666666666,0.859375,0.5,0.4375,0.42913501737031146,0.2222222222222222,0.85546875,0.8239247311827956,0.125,1.0
Exp 3: ResNet50 fine-tuning global (two-stage),"Fase 1: head LR=1e-3, 15 ep. Fase 2: full LR=1e-5, hasta 40 ep",0.6,0.7777777777777778,0.984375,0.65,0.6458333333333334,0.6726264726264727,0.7692307692307693,0.9609375,0.8874007936507936,0.625,1.0
Exp 4: ResNet50 + DA Agresivo,"Flip, rotación libre, zoom, brightness, contraste",0.525,0.7272727272727273,0.984375,0.7,0.7291666666666666,0.7049546944283787,0.7368421052631579,0.86328125,0.7793087730587731,0.875,0.875
Exp 5: MobileNetV2 + DA Agresivo,"Backbone ligero, últimas 40 capas",0.375,0.18181818181818182,0.58203125,0.375,0.3125,0.18867924528301885,0.0,0.69140625,0.33486263736263744,0.0,1.0
Exp 6: ResNet50 regularizada,"Backbone TOTALMENTE congelado, clasificador 64 + L2=0.02 + Dropout=0.6",0.55,0.8421052631578947,0.98046875,0.675,0.6875,0.7000232288037167,0.8571428571428571,0.98828125,0.959375,0.75,1.0
Exp 7: ResNet50 ultra-regularizada,"L2=0.08, Dropout 0.5 + 0.65, dense 64. Mejor de la versión original.",0.7,0.7272727272727273,0.984375,0.575,0.6041666666666666,0.5792131844763423,0.631578947368421,0.95703125,0.8863095238095238,0.75,0.84375
Exp 8: Two-stage fine-tuning correcto,Fase 1: head LR=1e-3. Fase 2: últimas 30 capas LR=1e-5,0.525,0.6956521739130435,0.96484375,0.625,0.6458333333333334,0.6324871001031992,0.7058823529411765,0.93359375,0.7837121212121212,0.75,0.90625
"Exp 9: ResNet50 + Focal Loss (γ=2, α=[1,1,2])",Focal loss en lugar de class_weight para manejar desbalance,0.4,0.7058823529411765,0.9375,0.65,0.6666666666666666,0.6699999999999999,0.8,0.90234375,0.8001488095238095,0.75,0.96875
Exp 10: ResNet50 + Mixup (α=0.2),"Mixup combina pares de imágenes, fuerte regularización",0.425,0.56,0.8671875,0.475,0.5,0.47134238310708904,0.5,0.75,0.6075160256410257,0.625,0.78125
Exp 11: EfficientNetV2-B0,"Backbone más moderno, últimas 40 capas entrenables",0.7,0.7619047619047619,0.9921875,0.675,0.6875,0.6829131652661066,0.7058823529411765,0.9765625,0.908531746031746,0.75,0.90625
Exp 12: ResNet50 + Máscaras PH2 (recorte bounding box),"Imagen recortada al BBox de la lesión (elimina piel sana, pelo, viñeta)",0.575,0.875,0.99609375,0.6,0.625,0.6224696356275303,0.75,0.890625,0.8273969534050178,0.75,0.9375
Exp 13: TTA (sobre Exp 7),"8 augmentations en inferencia, promedio de probabilidades",,,,0.675,0.7291666666666666,0.7133198106828939,0.9411764705882353,0.984375,0.931795634920635,1.0,0.96875
Exp 14a: Solo Tabular (LR),Logistic Regression sobre features PH2 (referencia),,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Exp 14b: Ensemble Imagen + Tabular,Stacking: probas imagen (Exp 7) + probas tabular ⇒ meta-LR,,,,0.975,0.9583333333333334,0.9676767676767678,0.9333333333333333,0.99609375,0.9861111111111112,0.875,1.0
Exp 14c: Ensemble (promedio 50/50),Promedio simple de probabilidades imagen + tabular,,,,0.975,0.9583333333333334,0.9676767676767678,0.9333333333333333,0.9921875,0.975,0.875,1.0
Exp 15: Umbral óptimo (Youden J) — Exp 7,Umbral=0.410 optimizando sens+spec,,,,,,,0.7777777777777778,0.95703125,0.8863095238095238,0.875,0.90625
